f:mean within-blend semantic similarity	f:mean importance of vital relations	f:input spaces balance	f:mapping mix	f:blended concepts	f:mean of words per concept	d:graphs vertices	d:graphs edges	f:novelty	g:blend space
0.06899007829671432	-1.0	-1.0	-1.0	0.3333333333333333	1.0	3	2	1.0	person|conductor,partof,citizenry;person|conductor,capableof,comfort_friend;
0.0469258859484325	-0.808	-1.0	-1.0	0.0	1.6666666666666667	6	5	0.4	run_marathon,motivatedbygoal,you_feel_dirty;run_marathon,usedfor,show_off;take_shower,usedfor,health;run_in_marathon,usedfor,you_feel_dirty;run_in_marathon,haslastsubevent,take_shower;
-0.0459929424597668	-0.6699999999999999	-1.0	-1.0	0.0	1.0	4	3	1.0	mattress,madeof,plastic;wind_instrument,madeof,straw;straw,antonym,plastic;
0.04808049776594235	-0.88	-1.0	-0.3333333333333333	0.5	2.3333333333333335	4	3	0.6666666666666666	government|if_you,desires,order|save_environment_dont_have_child;egalitarian_society,isa,government|if_you;egalitarian_society,desires,treat_all_person_as_equal;
0.04808049776594235	-0.8200000000000001	-1.0	-1.0	0.3333333333333333	1.0	3	2	1.0	divider,isa,cat|person;cat|person,desires,go_outside;
0.0205426552230771	-0.8019999999999999	-1.0	-0.4	0.0	1.0	6	5	0.4	wood,capableof,warp;men,capableof,weave;warp,partof,weave;wood,antonym,stone;stinger,madeof,stone;
-0.05225923860645268	-0.43600000000000005	-0.2857142857142857	-0.2	0.16666666666666666	1.0	6	5	0.4	cake,antonym,candle;juice,antonym,milk|public_holiday;juice,madeof,fruit;candle,influencedby,xslt;cake,madeof,milk|public_holiday;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.6666666666666666	0.25	1.6	4	3	0.6666666666666666	ocean,antonym,chapel;chapel,influencedby,zpl;ocean,madeof,large_amount_of_stone|salt_water;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.6	3	2	1.0	paint|ernest_hemingway,antonym,use;julio_rosado_del_valle|derek_marlowe,influencedby,paint|ernest_hemingway;
-0.07105812704651032	-0.11	-1.0	-0.3333333333333333	0.5	1.5	4	3	0.6666666666666666	julio_rosado_del_valle|derek_marlowe,influencedby,paint|ernest_hemingway;use,influencedby,tutor;paint|ernest_hemingway,antonym,use;
-0.07105812704651032	-0.085	-0.5	-1.0	0.3333333333333333	1.75	3	2	1.0	joy|get_notice_by_agent,antonym,sad;cat,influencedby,joy|get_notice_by_agent;
0.062161300396939276	-0.88	-1.0	-1.0	0.0	1.5	4	3	1.0	giver,isa,compete;giver,desires,play_game;cut_your_hair,motivatedbygoal,compete;
6.602757788824789E-4	-0.7525	-1.0	-0.5	0.2	1.3333333333333333	5	4	0.75	make_phone_call,madeof,spring;overdue_bill,causesdesire,make_phone_call;spring,antonym,season|character;write_word,madeof,season|character;
0.060413094013957475	-0.8560000000000001	-1.0	-0.6	0.0	1.6666666666666667	6	5	0.6	giver,isa,compete;haircutting_scissor,usedfor,cut_your_hair;giver,desires,play_game;cut_your_hair,motivatedbygoal,compete;play_game,isa,way_of_entertainment;
0.06452395942996252	-0.91	-1.0	-1.0	0.0	1.4	5	4	1.0	giver,isa,compete;stick,usedfor,cut_your_hair;giver,desires,play_game;cut_your_hair,motivatedbygoal,compete;
0.004393514198531362	-0.7525	-1.0	-1.0	0.4	1.0	5	4	1.0	plain|wood,antonym,paper;human|house,capableof,paper;human|house,partof,natural_world;bowl,madeof,plain|wood;
0.06570528894647415	-0.9280000000000002	-1.0	-0.6	0.3333333333333333	2.125	6	5	0.6	commit_to_memory|learn_about_science,usedfor,learn_skill|get_smart;fred,desires,watch_movie;commit_to_memory|learn_about_science,motivatedbygoal,that_bite_of_knowledge_be_crucial;read,motivatedbygoal,learn_skill|get_smart;fred,isa,read;
