f:mean within-blend semantic similarity	f:mean importance of vital relations	f:input spaces balance	f:mapping mix	f:blended concepts	f:mean of words per concept	d:graphs vertices	d:graphs edges	f:novelty	g:blend space
-0.07105812704651032	-0.11	-0.75	-0.6666666666666666	0.25	1.0	4	3	1.0	biology|sufism,influencedby,ahmad_sirhindi;chemistry,antonym,biology|sufism;chemistry,influencedby,margaret_naumburg;
-0.07105812704651032	-0.085	-1.0	-1.0	0.0	1.0	3	2	0.0	cat,influencedby,joy;joy,antonym,bad;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.0	3	2	1.0	murder|habit,antonym,self|one_time;agora,influencedby,self|one_time;
-0.07105812704651032	-0.085	-1.0	-0.0	0.3333333333333333	1.0	3	2	1.0	cobol,influencedby,two_floor|fact;two_floor|fact,antonym,fable;
-0.07105812704651032	-0.085	-0.6666666666666666	-1.0	0.3333333333333333	1.5	3	2	1.0	long,antonym,kernel;kernel,influencedby,flannery_o_connor|scheme;
-0.07105812704651032	-0.085	-0.6666666666666666	-0.5	0.3333333333333333	1.0	3	2	1.0	tom_hodgkinson,influencedby,crass|yours;crass|yours,antonym,delicate;
-0.07105812704651032	-0.085	-0.5	-1.0	0.6666666666666666	1.0	3	2	1.0	chemistry,influencedby,robert_boyle|paul_bert;chemistry,antonym,physic|physiology;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.6666666666666667	3	2	0.5	fairy_tale,antonym,student;valya_dudycz_lupescu,influencedby,fairy_tale;
-0.07105812704651032	-0.085	-0.25	-0.5	0.3333333333333333	1.0	3	2	1.0	graham_joyce,antonym,biology;graham_joyce,influencedby,alfred_tarski|frank_herbert;
-0.07105812704651032	-0.06	-0.75	-0.6666666666666666	0.25	1.0	4	3	1.0	border|cat,antonym,unbordered;mandatory,antonym,joy;border|cat,influencedby,joy;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.6666666666666666	0.25	1.0	4	3	0.6666666666666666	vodka,antonym,candle;vodka,madeof,potato|sugar;candle,influencedby,x_query;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.3333333333333333	0.0	1.0	4	3	0.3333333333333333	vodka,antonym,candle;candle,influencedby,x_query;vodka_martini,madeof,vodka;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.0	0.25	1.0	4	3	0.6666666666666666	take_course|cake,antonym,candle;take_course|cake,madeof,ingredient;candle,influencedby,relax_ng;
-0.05852553475313856	-0.38999999999999996	-0.6666666666666666	-0.6666666666666666	0.0	1.0	4	3	0.6666666666666666	vodka,antonym,candle;candle,influencedby,x_query;vodka,madeof,sugar;
-0.05852553475313856	-0.38999999999999996	-0.6666666666666666	-0.3333333333333333	0.25	1.0	4	3	0.6666666666666666	cookie,antonym,glass_bottle|cake;glass_bottle|cake,madeof,egg;cookie,influencedby,morning_musume;
-0.05852553475313856	-0.38999999999999996	-0.6	-0.6666666666666666	0.5	1.5	4	3	1.0	cake,antonym,candle|ambition;cake,madeof,give_up_all_hope|milk;candle|ambition,influencedby,x_query;
-0.05852553475313856	-0.38999999999999996	-0.5	-0.3333333333333333	0.25	1.0	4	3	0.6666666666666666	olive|untidy,madeof,olive_oil;haskell,influencedby,clean;clean,antonym,olive|untidy;
-0.05434800398868131	-0.295	-1.0	-0.5	0.2	1.0	5	4	0.75	vodka,antonym,candle;vodka,madeof,potato|sugar;athlete,antonym,potato|sugar;candle,influencedby,x_query;
-0.05434800398868131	-0.295	-0.8	-0.75	0.2	1.0	5	4	0.75	vodka,antonym,candle;vodka,madeof,potato|sugar;candle,influencedby,x_query;potato|sugar,antonym,salt;
-0.05434800398868131	-0.295	-0.75	-0.75	0.0	1.0	5	4	0.75	vodka,antonym,candle;candle,influencedby,x_query;vodka,madeof,sugar;sugar,antonym,sign;
-0.05434800398868131	-0.295	-0.75	-0.5	0.2	1.0	5	4	0.75	cookie,antonym,glass_bottle|cake;glass_bottle|cake,madeof,egg;balance_checkbook,antonym,egg;cookie,influencedby,morning_musume;
-0.05434800398868131	-0.295	-0.6666666666666666	-0.5	0.4	1.4285714285714286	5	4	1.0	cake,antonym,candle|ambition;candle|ambition,influencedby,x_query;cake,madeof,give_up_all_hope|milk;bitter,antonym,give_up_all_hope|milk;
-0.05225923860645268	-0.43600000000000005	-1.0	-0.4	0.3333333333333333	1.25	6	5	0.8	child,antonym,mineral;milk|doll,antonym,cookie;child,madeof,flesh_and_blood|have_sex;milk|doll,madeof,mineral;cookie,influencedby,morning_musume;
-0.05225923860645268	-0.43600000000000005	-1.0	-0.0	0.16666666666666666	1.2857142857142858	6	5	0.4	sugar,antonym,flour;umbrella_with_hole|cookie,antonym,cake;cake,madeof,flour;umbrella_with_hole|cookie,influencedby,morning_musume;sugar,madeof,sugarcane;
-0.05225923860645268	-0.43600000000000005	-0.75	-0.4	0.0	1.3333333333333333	6	5	0.6	child,antonym,mineral;doll,madeof,mineral;doll,antonym,cookie;child,madeof,flesh_and_blood;cookie,influencedby,morning_musume;
